run_order,group_index,part_index,run_id,sample_id,generator,target_risk_level,selection_index,repeat_round,traffic_manager_seed,source,config_path,expected_run_root
83,7,21,lhs_critical_20260813_0101__tm_20260821__generator_compare_v1,lhs_critical_20260813_0101,lhs,critical,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_critical_20260813_0101__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_critical_20260813_0101__tm_20260821__generator_compare_v1
84,7,21,cvae_high_20260813_0033__tm_20260822__generator_compare_v1,cvae_high_20260813_0033,cvae,high,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_high_20260813_0033__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260822__generator_compare_v1
85,8,22,cvae_low_20260813_0034__tm_20260822__generator_compare_v1,cvae_low_20260813_0034,cvae,low,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_low_20260813_0034__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260822__generator_compare_v1
86,8,22,lhs_medium_20260813_0041__tm_20260821__generator_compare_v1,lhs_medium_20260813_0041,lhs,medium,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_medium_20260813_0041__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_medium_20260813_0041__tm_20260821__generator_compare_v1
87,8,22,gmm_high_20260813_0049__tm_20260823__generator_compare_v1,gmm_high_20260813_0049,gmm,high,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_high_20260813_0049__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260823__generator_compare_v1
88,8,22,cvae_critical_20260813_0030__tm_20260822__generator_compare_v1,cvae_critical_20260813_0030,cvae,critical,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_critical_20260813_0030__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260822__generator_compare_v1
89,8,23,lhs_critical_20260813_0055__tm_20260823__generator_compare_v1,lhs_critical_20260813_0055,lhs,critical,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_critical_20260813_0055__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_critical_20260813_0055__tm_20260823__generator_compare_v1
90,8,23,gmm_medium_20260813_0077__tm_20260822__generator_compare_v1,gmm_medium_20260813_0077,gmm,medium,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_medium_20260813_0077__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_medium_20260813_0077__tm_20260822__generator_compare_v1
91,8,23,cvae_high_20260813_0067__tm_20260821__generator_compare_v1,cvae_high_20260813_0067,cvae,high,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_high_20260813_0067__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260821__generator_compare_v1
92,8,23,lhs_low_20260813_0128__tm_20260823__generator_compare_v1,lhs_low_20260813_0128,lhs,low,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_low_20260813_0128__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_low_20260813_0128__tm_20260823__generator_compare_v1
93,8,24,gmm_low_20260813_0012__tm_20260821__generator_compare_v1,gmm_low_20260813_0012,gmm,low,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_low_20260813_0012__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_low_20260813_0012__tm_20260821__generator_compare_v1
94,8,24,lhs_high_20260813_0106__tm_20260822__generator_compare_v1,lhs_high_20260813_0106,lhs,high,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_high_20260813_0106__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_high_20260813_0106__tm_20260822__generator_compare_v1
95,8,24,cvae_medium_20260813_0082__tm_20260823__generator_compare_v1,cvae_medium_20260813_0082,cvae,medium,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_medium_20260813_0082__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260823__generator_compare_v1
96,8,24,gmm_critical_20260813_0072__tm_20260821__generator_compare_v1,gmm_critical_20260813_0072,gmm,critical,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_critical_20260813_0072__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260821__generator_compare_v1
97,9,25,lhs_critical_20260813_0101__tm_20260823__generator_compare_v1,lhs_critical_20260813_0101,lhs,critical,3,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_critical_20260813_0101__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_critical_20260813_0101__tm_20260823__generator_compare_v1
